type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,"assets/02-my_hus_mar.mp3""",,My husband used to go herring raking,,Marion,
c,"assets/05-herring_mar.mp3""",,He took the herring rake and went into the boat,,Marion,
c,"assets/09-rake_mar.mp3""",,He is herring raking and shaking the herring off into the stern of the rowboat,,Marion,
c,"assets/12-stick_mar.mp3""",,The herring rake is a long stick with lots of nails on it,,Marion,
p,"assets/01-used to.mp3""",,used to,taʔat,,How do you say this?
r,"assets/02-went.mp3""",,went,θohoɬ,,
p,"assets/03-my husband.mp3""",,my husband,tətᶿ gaqəɬ,,
p,"assets/04-rake herring.mp3""",,rake herring,ɬatəm,,
r,"assets/05-herring.mp3""",,herring,ɬagət,,
p,"assets/06-he went.mp3""",,he went,hohoɬ,,
r,"assets/07-get in to a boat.mp3""",,get in the boat,ʔowɩɬ,,
t,"assets/08-boat.mp3""",,boat,nuxʷɩɬ,,
p,"assets/09-he took it.mp3""",,,,,
p,"assets/10-herring rake.mp3""",,,,,
t,"assets/11-he is raking herring.mp3""",,,,,
p,"assets/12-he is shaking them.mp3""",,,,,
t,"assets/13-the herring.mp3""",,,,,
p,"assets/14-stern.mp3""",,,,,
p,"assets/15-rowboat.mp3""",,,,,
p,"assets/16-boat.mp3""",,,,,
p,"assets/17-verylong.mp3""",,,,,
t,"assets/18-long.mp3""",,,,,
t,"assets/19-stick.mp3""",,,,,
p,"assets/20-lots of nails.mp3""",,,,,
t,"assets/21-nail.mp3""",,,,,
r,assets/14-i went and got into the boat.mp3,,,,,
r,assets/15-I went and got into the rowboat.mp3,,,,,
r,assets/16-did you get into the rowboat.mp3,,,,,
t,assets/17-did you guys get into the rowboat.mp3,,,,,
p,assets/18-i got into the car.mp3,,,,,
p,assets/01-my husband.mp3,,,,,
t,assets/02-your husband.mp3,,,,,
p,assets/03-her husband.mp3,,,,,
t,assets/04-our husbands.mp3,,,,,
p,assets/05-your guys husbands.mp3,,,,,
r,assets/06-their husbands.mp3,,,,,
r,assets/07-i was raking herring.mp3,,,,,
r,assets/08-you were raking herring.mp3,,,,,
t,assets/09-he was raking herring.mp3,,,,,
r,assets/10-we were raking herring.mp3,,,,,
p,assets/11-you guys were raking herring.mp3,,,,,
t,assets/12-they were raking herring.mp3,,,,,
p,assets/13-he went into the boat.mp3,,,,,
