type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets\audio\ch3-breakfast\01-wake_mab.mp3,,Get up,χatosəm ga,Mabel,
c,assets\audio\ch3-breakfast\02-come_mab.mp3,,Come here Tony,qʷaʔ gi Tony,Mabel,
c,assets\audio\ch3-breakfast\03-want_law.mp3,,What do you want?,təm kʷθ χaƛ,Lawrence,
c,assets\audio\ch3-breakfast\04-eat_mab.mp3,,What will you eat?,təmsəm mukʷtəxʷ,Mabel,
c,assets\audio\ch3-breakfast\05-egg_law.mp3,,Eggs,χʷaχʷɛt,Lawrence,
c,assets\audio\ch3-breakfast\06-wait_mab.mp3,,You'll have to wait,ɬaqəmcxʷot,Mabel,
c,assets\audio\ch3-breakfast\07-cook_mab.mp3,,I'll go cook,hotᶿəm čɛχət,Mabel,
c,assets\audio\ch3-breakfast\08-ready_law.mp3,,Is it ready?,hoǰita ?,Lawrence,
c,assets\audio\ch3-breakfast\09-no_mab.mp3,,No,xʷaʔ,Mabel,
c,assets\audio\ch3-breakfast\10-what_drink_mab.mp3,,What will you drink?,təmsəm qʷoqʷotəxʷ,Mabel,
c,assets\audio\ch3-breakfast\11-tea_law.mp3,,Tea,tihayɛʔ,Lawrence,
c,assets\audio\ch3-breakfast\12-ready_law.mp3,,Is it ready?,kʷəna hoǰit ?,Lawrence,
c,assets\audio\ch3-breakfast\13-yes_mab.mp3,,"Yes, here is your breakfast","ʔɛʔ, niš tɛʔe θ kʷimɛn",Mabel,
p,assets\audio\ch3-breakfast\get_up_mab.mp3,,get up,χatosəm ga,Mabel,
p,assets\audio\ch3-breakfast\Tony come here_mab.mp3,,Tony come here,qʷaʔ gi Tony,Mabel,
r,assets\audio\ch3-breakfast\get_up_mab-2.mp3,,get up,χatosəm ga,Mabel,
r,assets\audio\ch3-breakfast\Tony come here_mab-2.mp3,,Tony come here,qʷaʔ gi Tony,Mabel,
p,assets\audio\ch3-breakfast\what do you want__mab.mp3,,what do you want?,təm kʷθ χaƛ,Mabel,
p,assets\audio\ch3-breakfast\what are you going to eat__mab.mp3,,what are you going to eat?,təmsəm mukʷtəxʷ,Mabel,
