type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets\audio\ch25-christmas\01-mar_close to Christmas.mp3,,it's close to Christmas,taʔsət kɩsməs,Mabel,
c,assets\audio\ch25-christmas\02-mab_we went to get a small tree.mp3,,we went to get a small tree,hohoɬst maʔam kʷ ǰɛʔǰɩǰɛʔ,Mabel,
c,assets\audio\ch25-christmas\03-mab_we are going to decorate our tree.mp3,,we are going to decorate our tree,xʷʊčʔɛstəm təms ǰɛʔǰɩǰɛʔ,Mabel,
c,assets\audio\ch25-christmas\04-mab_we made a star.mp3,,we made a star,hiʔamoɬst kʷusən,Mabel,
c,assets\audio\ch25-christmas\05-mab_it's beautiful.mp3,,it's beautiful,hɛhɛw ʔaǰumiš,Mabel,
c,assets\audio\ch25-christmas\06-mab_we're ready for Christmas.mp3,,we're ready for Christmas,st kʷ hoǰɩt kɩsməs,Mabel,
p,assets\audio\ch25-christmas\07-mab_it's close to Christmas.mp3,,it's close to Christmas,taʔsət kɩsməs,Mabel,
p,assets\audio\ch25-christmas\26-l_almost Christmas.mp3,,almost Christmas,čɩgɩtəm kɩsməs,Lorraine,
r,"assets\audio\ch25-christmas\19-mab_close to, near.mp3",,"close to, near",taʔsət,Mabel,
r,assets\audio\ch25-christmas\22-mab_Chistmas.mp3,,Chistmas,kɩsməs,Mabel,
t,assets\audio\ch25-christmas\08-mab_it's close to Christmas.mp3,,it's close to Christmas,taʔsət kɩsməs,Mabel,
p,assets\audio\ch25-christmas\09-mab_we went to get a small tree.mp3,,we went to get a small tree,hohoɬst maʔam kʷ ǰɛʔǰɩǰɛʔ,Mabel,
r,assets\audio\ch25-christmas\28-mab_we went.mp3,,we went,hohoɬst,Mabel,
r,assets\audio\ch25-christmas\31-mab_to get.mp3,,to get,maʔəm,Mabel,
r,assets\audio\ch25-christmas\37-mab_small tree.mp3,,small tree,ǰɛʔǰɩǰɛʔ,Mabel,
r,assets\audio\ch25-christmas\34-mab_tree.mp3,,tree,ǰɛʔǰɛ,Mabel,
t,assets\audio\ch25-christmas\10-mab_we went to get a small tree.mp3,,we went to get a small tree,hohoɬst maʔam kʷ ǰɛʔǰɩǰɛʔ,Mabel,
t,assets\audio\ch25-christmas\08-mab_it's close to Christmas.mp3,,it's close to Christmas,taʔsət kɩsməs,Mabel,
p,assets\audio\ch25-christmas\11-mab_we are going to decorate our tree.mp3,,we are going to decorate our tree,xʷʊčʔɛstəm təms ǰɛʔǰɩǰɛʔ,Mabel,
r,assets\audio\ch25-christmas\49-mab_we are going to decorate.mp3,,we are going to decorate,xʷʊčʔɛstəm,Mabel,
t,assets\audio\ch25-christmas\52-mab_our little tree.mp3,,our little tree,təms ǰɛʔǰɩǰɛʔ,Mabel,
t,assets\audio\ch25-christmas\35-l_tree.mp3,,tree,ǰɛʔǰɛ,Lorraine,
t,assets\audio\ch25-christmas\12-mab_we are going to decorate our tree.mp3,,we are going to decorate our tree,xʷʊčʔɛstəm təms ǰɛʔǰɩǰɛʔ,Mabel,
p,assets\audio\ch25-christmas\56-l_decoration.mp3,,decoration,xʷʊčtən,Lorraine,
p,assets\audio\ch25-christmas\13-mab_we made a star.mp3,,we made a star,hiʔamoɬst kʷusən,Mabel,
r,assets\audio\ch25-christmas\58-mab_we made.mp3,,we made,hiʔamoɬst,Mabel,
r,assets\audio\ch25-christmas\61-mab_star.mp3,,star,kʷusən,Mabel,
t,assets\audio\ch25-christmas\14-mab_we made a star.mp3,,we made a star,hiʔamoɬst kʷusən,Mabel,
t,assets\audio\ch25-christmas\59-l_we made.mp3,,we made,hiʔamoɬst,Lorraine,
