type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets\audio\ch5\02-l_what are you doing tonight.mp3,,what are you doing tonight,təmsəm kʷəθ yɛyɛθot tɩn nanat,Keeks,
c,"assets\audio\ch5\03- m_nothing, I'll be home.mp3",,"nothing, I'll be home",hʊkʷtʔot ništᶿəm ʔamot,Mabel,
c,assets\audio\ch5\04-m_I'll be here watching TV.mp3,,I'll be here watching TV,ništᶿəm ǰɛqanʊxʷ TV,Mabel,
c,assets\audio\ch5\05-m_what will you do.mp3,,what will you do,təmsəm yɛyɛθot nɩgi,Mabel,
c,assets\audio\ch5\06-l_I'm going to a movie.mp3,,I'm going to a movie,hotᶿəm movie čɩnɛ,Keeks,
c,assets\audio\ch5\07-l_do you want to come with me.mp3,,do you want to come with me,χaƛa kʷθ θo qamɛn,Keeks,
c,assets\audio\ch5\08-m_yes I'll come with you.mp3,,yes I'll come with you,"ʔɛ, qʷol čɩnsəm qamɛn",Mabel,
c,assets\audio\ch5\09-m_what will you watch.mp3,,what will you watch,təmsəm ǰɛqənʊxʷ,Mabel,
c,assets\audio\ch5\10-l_leave the orca alone.mp3,,leave the orca alone,kʷət ga nənqəm,Keeks,
c,assets\audio\ch5\11-l_It would be good to free the orca.mp3,,It would be good to free the orca,ʔiʔot ƛaqšəxʷ nanqəm,Keeks,
p,assets\audio\ch5\13-m_what are you doing tonight.mp3,,what are you doing tonight,təmsəm kʷəθ yɛyɛθot tɩn nanat,Mabel,
r,assets\audio\ch5\37-m_what.mp3,,what,təm,Mabel,
r,assets\audio\ch5\40-m_tonight.mp3,,tonight,tin nanat,Mabel,
t,assets\audio\ch5\14-m_what are you doing tonight.mp3,,what are you doing tonight,təmsəm kʷəθ yɛyɛθot tɩn nanat,Mabel,
p,"assets\audio\ch5\03- m_nothing, I'll be home.mp3",,"nothing, I'll be home",hʊkʷtʔot ništᶿəm ʔamot,Mabel,
r,assets\audio\ch5\15-m_nothing.mp3,,nothing,hʊkʷtʔot,Mabel,
r,"assets\audio\ch5\17- m_nothing, I'll be home.mp3",,"nothing, I'll be home",ništᶿəm ʔamot,Mabel,
