type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets\audio\ch4-seeyou\good_mab.mp3,,I am glad to see you,,Mabel,
c,assets\audio\ch4-seeyou\missed_mab.mp3,,I missed you,,Mabel,
c,assets\audio\ch4-seeyou\i_went_law.mp3,,I went to see your Granny,,Lawrence,
c,assets\audio\ch4-seeyou\is_she_mab.mp3,,Is your Granny well?,,Mabel,
c,assets\audio\ch4-seeyou\fine_law.mp3,,She's okay,,Lawrence,
c,assets\audio\ch4-seeyou\did_you_mab.mp3,,Did you happen to see your Grandpa?,,Mabel,
c,assets\audio\ch4-seeyou\no_law.mp3,,"No, I didn't see him",,Lawrence,
c,assets\audio\ch4-seeyou\not_home_law.mp3,,He wasn't home,,Lawrence,
c,assets\audio\ch4-seeyou\when_mab.mp3,,When is he coming home?,,Mabel,
c,assets\audio\ch4-seeyou\tomorrow_law.mp3,,It will be tomorrow,,Lawrence,
c,assets\audio\ch4-seeyou\billy_mab.mp3,,Did you see Billy?,,Mabel,
c,assets\audio\ch4-seeyou\yes_law.mp3,,Yes,,Lawrence,
c,assets\audio\ch4-seeyou\we_played_law.mp3,,I went to play with him,,Lawrence,
c,assets\audio\ch4-seeyou\see_you_law.mp3,,I'll see you,,Lawrence,
c,assets\audio\ch4-seeyou\talk_mab.mp3,,I'll talk to you tomorrow,,Mabel,
p,assets\audio\ch4-seeyou\very good-mab.mp3,,very good,,Mabel,
r,assets\audio\ch4-seeyou\very good-lor.mp3,,very good,,Lorraine,
p,assets\audio\ch4-seeyou\my inner feelings-mab.mp3,,my inner feelings,,Mabel,
r,assets\audio\ch4-seeyou\my inner feelings-lor.mp3,,my inner feelings,,Lorraine,
t,assets\audio\ch4-seeyou\very good-law.mp3,,very good,,Lawrence,
t,"assets\audio\ch4-seeyou\inner feelings, inner voice-lor.mp3",,"inner feelings, inner voice",,Lorraine,
p,assets\audio\ch4-seeyou\happen to see you-mab.mp3,,happen to see you,,Mabel,
r,assets\audio\ch4-seeyou\happen to see you-lor.mp3,,happen to see you,,Lorraine,
t,"assets\audio\ch4-seeyou\inner feelings, inner voice-law.mp3",,"inner feelings, inner voice",,Lawrence,
t,assets\audio\ch4-seeyou\happen to see you-law.mp3,,happen to see you,,Lawrence,
p,assets\audio\ch4-seeyou\go-mab.mp3,,go,,Mabel,
r,assets\audio\ch4-seeyou\go-lor.mp3,,go,,Lorraine,
p,assets\audio\ch4-seeyou\I went-mab.mp3,,I went,,Mabel,
r,assets\audio\ch4-seeyou\I went-lor.mp3,,I went,,Lorraine,
t,assets\audio\ch4-seeyou\I went-law.mp3,,I went,,Lawrence,
t,assets\audio\ch4-seeyou\go-law.mp3,,go,,Lawrence,
p,assets\audio\ch4-seeyou\to see-lor.mp3,,to see,,Lorraine,
r,assets\audio\ch4-seeyou\to see-law.mp3,,to see,,Lawrence,
p,assets\audio\ch4-seeyou\granny-mab.mp3,,granny,,Mabel,
r,assets\audio\ch4-seeyou\granny-lor.mp3,,granny,,Lorraine,
t,assets\audio\ch4-seeyou\granny-law.mp3,,granny,,Lawrence,
p,assets\audio\ch4-seeyou\your grandpa-mab.mp3,,your grandpa,,Mabel,
r,assets\audio\ch4-seeyou\your grandpa-lor.mp3,,your grandpa,,Lorraine,
t,assets\audio\ch4-seeyou\your grandpa-law.mp3,,your grandpa,,Lawrence,
p,assets\audio\ch4-seeyou\did you happen to see him-mab.mp3,,did you happen to see him,,Mabel,
r,assets\audio\ch4-seeyou\did you happen to see him-lor.mp3,,did you happen to see him,,Lorraine,
p,assets\audio\ch4-seeyou\I don't-mab.mp3,,I don't,,Mabel,
r,assets\audio\ch4-seeyou\I don't-lor.mp3,,I don't,,Lorraine,
t,assets\audio\ch4-seeyou\did you happen to see him-law.mp3,,did you happen to see him,,Lawrence,
t,assets\audio\ch4-seeyou\I don't-law.mp3,,I don't,,Lawrence,
p,assets\audio\ch4-seeyou\see him-mab.mp3,,see him,,Mabel,
r,assets\audio\ch4-seeyou\see him-lor.mp3,,see him,,Lorraine,
t,assets\audio\ch4-seeyou\see him-law.mp3,,see him,,Lawrence,
p,assets\audio\ch4-seeyou\see you-mab.mp3,,see you,,Mabel,
r,assets\audio\ch4-seeyou\see you-lor.mp3,,see you,,Lorraine,
t,assets\audio\ch4-seeyou\see you-law.mp3,,see you,,Lawrence,
p,assets\audio\ch4-seeyou\I will-mab.mp3,,I will,,Mabel,
r,assets\audio\ch4-seeyou\I will-lor.mp3,,I will,,Lorraine,
t,assets\audio\ch4-seeyou\I will-law.mp3,,I will,,Lawrence,
t,assets\audio\ch4-seeyou\I will see you-law.mp3,,I will see you,,Lawrence,
p,assets\audio\ch4-seeyou\I will see you-mab.mp3,,I will see you,,Mabel,
r,assets\audio\ch4-seeyou\I will see you-lor.mp3,,I will see you,,Lorraine,
,assets\audio\ch4-seeyou\good-mab.mp3,,good,,Mabel,
