type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets\audio\ch7-outside\come in-law.mp3,,come in,,Mabel,
c,assets\audio\ch7-outside\what is it like outside_-mab.mp3,,what is it like outside?,,Mabel,
c,assets\audio\ch7-outside\its bad-law.mp3,,its bad,,Lawrence,
c,assets\audio\ch7-outside\its going to rain-law.mp3,,its going to rain,,Lawrence,
c,assets\audio\ch7-outside\is it cold out_-mab.mp3,,is it cold out?,,Mabel,
c,assets\audio\ch7-outside\yes it is cold-law.mp3,,yes it is cold,,Lawrence,
c,assets\audio\ch7-outside\look at the snow on the ground-law.mp3,,look at the snow on the ground,,Lawrence,
c,assets\audio\ch7-outside\have a seat-mab.mp3,,have a seat,,Mabel,
c,assets\audio\ch7-outside\have a seat by the window-mab.mp3,,have a seat by the window,,Mabel,
c,assets\audio\ch7-outside\do you want tea_-mab.mp3,,do you want tea?,,Mabel,
c,assets\audio\ch7-outside\yes-law.mp3,,yes,,Lawrence,
c,assets\audio\ch7-outside\so Ill get warmed up.mp3,,so I'll get warmed up,,Lawrence,
p,assets\audio\ch7-outside\come in-mab-2.mp3,,come in,,Mabel,
p,assets\audio\ch7-outside\what is it like outside_-mab-2.mp3,,what is it like outside?,,Mabel,
r,assets\audio\ch7-outside\what is it like outside_-mab-3.mp3,,what is it like outside?,,Mabel,
t,assets\audio\ch7-outside\its bad-mab.mp3,,its bad,,Mabel,
p,assets\audio\ch7-outside\its going to rain-mab.mp3,,its going to rain,,Mabel,
p,assets\audio\ch7-outside\rain-mab.mp3,,rain,,Mabel,
t,assets\audio\ch7-outside\rain-law.mp3,,rain,,Lawrence,
r,assets\audio\ch7-outside\rain-lor.mp3,,rain,,Lorraine,
t,assets\audio\ch7-outside\its going to rain-law-2.mp3,,its going to rain,,Lawrence,
p,assets\audio\ch7-outside\its going to rain-mab-3.mp3,,its going to rain,,Mabel,
r,assets\audio\ch7-outside\its going to rain-lor.mp3,,its going to rain,,Lorraine,
p,assets\audio\ch7-outside\be cold-mab.mp3,,be cold,,Mabel,
p,assets\audio\ch7-outside\outside-mab-2.mp3,,outside,,Mabel,
