type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets\audio\ch7-outside\when were you born-mab.mp3,,when were you born,hɛ kʷ sčɛʔɛnoɬ θ ʔɛʔanoɬ nɩgi ?,Mabel,
c,assets\audio\ch7-outside\long time ago-law.mp3,,long time ago,χʷoχʷoɬ,Lawrence,
c,assets\audio\ch7-outside\when were you born_-mab.mp3,,when were you born?,k̓ʷɛn kʷθ qʷoməy ?,Mabel,
c,assets\audio\ch7-outside\I will not tell you-law.mp3,,I will not tell you,xʷəčɛm tawθɩč,Lawrence,
c,assets\audio\ch7-outside\how come_-mab.mp3,,how come?,čɩm ga ?,Mabel,
c,assets\audio\ch7-outside\I do not want to-law.mp3,,I do not want to,xʷəčɛməs,Lawrence,
c,assets\audio\ch7-outside\how come you will not tell me_-mab.mp3,,how come you will not tell me?,čɩm ga xʷəčɛm tawčəxʷ,Mabel,
c,assets\audio\ch7-outside\you will tell everyone-law.mp3,,you will tell everyone,ʔukʷsəm gɛt tawtəxʷ,Lawrence,
p,assets\audio\ch7-outside\when were you born_-mab-2.mp3,,when were you born?,hɛ kʷ sčɛʔɛnoɬ θ ʔɛʔanoɬ nɩgi ?,Mabel,
p,assets\audio\ch7-outside\when-mab.mp3,,when/when was it,hɛ kʷ sčɛʔɛnoɬ,Mabel,
p,assets\audio\ch7-outside\be born-mab.mp3,,be born,ʔɛʔanaoɬ,Mabel,
r,assets\audio\ch7-outside\when-law.mp3,,when/when was it,hɛ kʷ sčɛʔɛnoɬ,Lawrence,
r,assets\audio\ch7-outside\be born-lor.mp3,,be born,ʔɛʔanaoɬ,Lorraine,
p,assets\audio\ch7-outside\you-mab.mp3,,you,nɩgi,Mabel,
r,assets\audio\ch7-outside\be born-law.mp3,,be born,ʔɛʔanaoɬ,Lawrence,
r,assets\audio\ch7-outside\you-lor.mp3,,you,nɩgi,Lorraine,
r,assets\audio\ch7-outside\when-lor.mp3,,when/when was it,hɛ kʷ sčɛʔɛnoɬ,Lorraine,
t,assets\audio\ch7-outside\you-law.mp3,,you,nɩgi,Lawrence,
t,assets\audio\ch7-outside\when were you born_-mab-3.mp3,,when were you born?,hɛ kʷ sčɛʔɛnoɬ θ ʔɛʔanoɬ nɩgi ?,Mabel,
p,assets\audio\ch7-outside\long time ago-mab.mp3,,long time ago,χʷoχʷoɬ,Mabel,
r,assets\audio\ch7-outside\very long time ago-law.mp3,,very long time ago,χʷoχʷoɬmot,Lawrence,
r,assets\audio\ch7-outside\long time ago-lor.mp3,,long time ago,χʷoχʷoɬ,Lorraine,
t,assets\audio\ch7-outside\long time ago-mab-2.mp3,,long time ago,χʷoχʷoɬ,Mabel,
t,assets\audio\ch7-outside\very long time ago-lor.mp3,,very long time ago,χʷoχʷoɬmot,Lorraine,
p,assets\audio\ch7-outside\how old are you_-mab.mp3,,how old are you?,k̓ʷɛn kʷθ qʷoməy ?,Mabel,
p,assets\audio\ch7-outside\how many_-mab.mp3,,how many?,kʷɛn,Mabel,
t,assets\audio\ch7-outside\snow-mab.mp3,,snow,qʷoməy,Mabel,
n,,,,,"When you ask ""how old are you?"" you are literally asking ""how many are your snows?"" this likely results from the significance of winter in the pre-colonial way of life, and birthdays weren't recognized until recent times as well. You may know someone who doesn't celebrate their brithday, or you may be one yourself!",
r,assets\audio\ch7-outside\how many_-lor.mp3,,how many?,kʷɛn,Lorraine,
r,assets\audio\ch7-outside\how many_-law.mp3,,how many?,kʷɛn,Lawrence,
t,assets\audio\ch7-outside\how old are you_-mab-2.mp3,,how old are you?,k̓ʷɛn kʷθ qʷoməy ?,Mabel,How many are your snows?
p,assets\audio\ch7-outside\I will not tell you-mab.mp3,,I will not tell you,xʷəčɛm tawθɩč,Mabel,
