type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets\audio\ch10-where\where were you born_-mab.mp3,,where were you born?,,Mabel,
c,assets\audio\ch10-where\Church House-law.mp3,,Church House,,Lawrence,
c,assets\audio\ch10-where\How about you_-law.mp3,,How about you?,,Lawrence,
c,assets\audio\ch10-where\I was born in Sliammon-mab.mp3,,I was born in Sliammon,,Mabel,
c,assets\audio\ch10-where\where you born in the hospital_-mab.mp3,,where you born in the hospital?,,Mabel,
c,assets\audio\ch10-where\it was my house I was born in-law.mp3,,it was my house I was born in,,Lawrence,
r,assets\audio\ch10-where\where were you born_-mab-2.mp3,,where were you born?,,Mabel,
p,assets\audio\ch10-where\Church House-mab.mp3,,in Church House,,Mabel,
r,assets\audio\ch10-where\Church House-mab-2.mp3,,in Church House,,Mabel,
p,assets\audio\ch10-where\how about you_-mab.mp3,,how about you?,,Mabel,
r,assets\audio\ch10-where\how about you_-mab-2.mp3,,how about you?,,Mabel,
P,assets\audio\ch10-where\I was born in Sliammon-mab-2.mp3,,I was born in Sliammon,,Mabel,
p,assets\audio\ch10-where\I was born in Sliammon-mab-3.mp3,,I was born in Sliammon,,Mabel,
p,assets\audio\ch10-where\were you born in the hospital_-mab.mp3,,were you born in the hospital?,,Mabel,
r,assets\audio\ch10-where\were you born in the hospital_-mab-2.mp3,,were you born in the hospital?,,Mabel,
p,assets\audio\ch10-where\I was born at home-mab.mp3,,I was born at home,,Mabel,
r,assets\audio\ch10-where\I was born at home-mab-2.mp3,,I was born at home,,Mabel,
p,assets\audio\ch10-where\where were you born_-mab-3.mp3,,where were you born?,,Mabel,
r,assets\audio\ch10-where\where were you born_-lor.mp3,,where were you born?,,Lorraine,
t,assets\audio\ch10-where\where were you born_-law.mp3,,where were you born?,,Lawrence,
n,,,,,,Let's look at more traditional place names
p,assets\audio\ch10-where\in Squirrel Cove-mab.mp3,,in Squirrel Cove,,Mabel,
r,assets\audio\ch10-where\in Squirrel Cove-law.mp3,,in Squirrel Cove,,Lawrence,
p,assets\audio\ch10-where\Old Church House-mab.mp3,,Old Church House,,Mabel,
r,assets\audio\ch10-where\Old Church House-lor.mp3,,Old Church House,,Lorraine,
t,assets\audio\ch10-where\Old Church House-law.mp3,,Old Church House,,Lawrence,
n,,,,,,Let's look at other types of buildings. One way we describe buildings is as a 'place of' or 'place to'. You can do this by taking any noun or verb and adding -awtxʷ at the end. Let's look at some examples!
p,assets\audio\ch10-where\hospital-mab.mp3,,hospital,,Mabel,
r,assets\audio\ch10-where\hospital-lor.mp3,,hospital,,Lorraine,
t,assets\audio\ch10-where\hospital-law.mp3,,hospital,,Lawrence,
p,assets\audio\ch10-where\Church-mab.mp3,,Church,,Mabel,
r,assets\audio\ch10-where\Church-lor.mp3,,Church,,Lorraine,
t,assets\audio\ch10-where\Church-law.mp3,,Church,,Lawrence,
p,assets\audio\ch10-where\smokehouse-mab.mp3,,smokehouse,,Mabel,
r,assets\audio\ch10-where\smokehouse-lor.mp3,,smokehouse,,Lorraine,
t,assets\audio\ch10-where\smokehouse-law.mp3,,smokehouse,,Lawrence,
p,assets\audio\ch10-where\dance hall-mab.mp3,,dance hall,,Mabel,
r,assets\audio\ch10-where\dance hall-lor.mp3,,dance hall,,Lorraine,
t,assets\audio\ch10-where\dance hall-law.mp3,,dance hall,,Lawrence,
p,assets\audio\ch10-where\school-mab.mp3,,school,,Mabel,
r,assets\audio\ch10-where\school-lor.mp3,,school,,Lorraine,
t,assets\audio\ch10-where\school-law.mp3,,school,,Lawrence,
,assets\audio\ch10-where\house-mab.mp3,,house,,Mabel,
,assets\audio\ch10-where\house-lor.mp3,,house,,Lorraine,
,assets\audio\ch10-where\house-law.mp3,,house,,Lawrence,
,assets\audio\ch10-where\houses-mab.mp3,,houses,,Mabel,
,assets\audio\ch10-where\houses-lor.mp3,,houses,,Lorraine,
,assets\audio\ch10-where\houses-law.mp3,,houses,,Lawrence,
,assets\audio\ch10-where\small house-mab.mp3,,small house,,Mabel,
,assets\audio\ch10-where\small house-lor.mp3,,small house,,Lorraine,
,assets\audio\ch10-where\small house-law.mp3,,small house,,Lawrence,
,assets\audio\ch10-where\Campbell River-mab.mp3,,Campbell River,,Mabel,
,assets\audio\ch10-where\Campbell River-lor.mp3,,Campbell River,,Lorraine,
,assets\audio\ch10-where\Campbell River-law.mp3,,Campbell River,,Lawrence,
,assets\audio\ch10-where\Church House-mab-3.mp3,,Church House,,Mabel,
,assets\audio\ch10-where\Church House-lor.mp3,,Church House,,Lorraine,
,assets\audio\ch10-where\Church House-law-2.mp3,,Church House,,Lawrence,
,assets\audio\ch10-where\Old Church House-mab-2.mp3,,Old Church House,,Mabel,
,assets\audio\ch10-where\Old Church House-lor-2.mp3,,Old Church House,,Lorraine,
,assets\audio\ch10-where\Old Church House-law-2.mp3,,Old Church House,,Lawrence,
,assets\audio\ch10-where\Sliammon Village-mab.mp3,,Sliammon Village,,Mabel,
,assets\audio\ch10-where\Sliammon Village-lor.mp3,,Sliammon Village,,Lorraine,
,assets\audio\ch10-where\Sliammon Village-law.mp3,,Sliammon Village,,Lawrence,
,assets\audio\ch10-where\Squirrel Cove-mab.mp3,,Squirrel Cove,,Mabel,
,assets\audio\ch10-where\Squirrel Cove-lor.mp3,,Squirrel Cove,,Lorraine,
,assets\audio\ch10-where\Squirrel Cove-law.mp3,,Squirrel Cove,,Lawrence,
,assets\audio\ch10-where\Head of Bute Inlet-mab.mp3,,Head of Bute Inlet,,Mabel,
,assets\audio\ch10-where\Head of Bute Inlet-lor.mp3,,Head of Bute Inlet,,Lorraine,
,assets\audio\ch10-where\Head of Bute Inlet-law.mp3,,Head of Bute Inlet,,Lawrence,
