type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets\audio\ch11-howold\how old are they_-law.mp3,,how old are they?,,Lawrence,
c,assets\audio\ch11-howold\still a child-mab.mp3,,still a child,,Mabel,
c,assets\audio\ch11-howold\how old is that woman_-law.mp3,,how old is that woman?,,Lawrence,
c,assets\audio\ch11-howold\still young-mab.mp3,,still young,,Mabel,
c,assets\audio\ch11-howold\how old is that man_-law.mp3,,how old is that man?,,Lawrence,
c,assets\audio\ch11-howold\I think they are older-mab.mp3,,I think they are older,,Mabel,
c,assets\audio\ch11-howold\he has many children-mab.mp3,,he has many children,,Mabel,
c,assets\audio\ch11-howold\he is quite old-mab.mp3,,he is quite old,,Mabel,
p,assets\audio\ch11-howold\how old is he_-mab.mp3,,how old is he?,,Mabel,
p,assets\audio\ch11-howold\how many_-mab-2.mp3,,how many?,,Mabel,
r,assets\audio\ch11-howold\how many_-lor-2.mp3,,how many?,,Lorraine,
t,assets\audio\ch11-howold\how many_-law.mp3,,how many?,,Lawrence,
p,assets\audio\ch11-howold\old-mab.mp3,,old,,Mabel,
r,assets\audio\ch11-howold\old-lor.mp3,,old,,Lorraine,
t,assets\audio\ch11-howold\old-law.mp3,,old,,Lawrence,
p,assets\audio\ch11-howold\that one-mab.mp3,,that one,,Mabel,
r,assets\audio\ch11-howold\that one-lor.mp3,,that one,,Lorraine,
t,assets\audio\ch11-howold\that one-law.mp3,,that one,,Lawrence,
t,assets\audio\ch11-howold\how old is he_-mab-2.mp3,,how old is he?,,Mabel,
p,assets\audio\ch11-howold\still a child-mab-2.mp3,,still a child,,Mabel,
p,assets\audio\ch11-howold\still-mab.mp3,,still,,Mabel,
r,assets\audio\ch11-howold\still-lor.mp3,,still,,Lorraine,
t,assets\audio\ch11-howold\still-law.mp3,,still,,Lawrence,
p,assets\audio\ch11-howold\child-mab.mp3,,child,,Mabel,
r,assets\audio\ch11-howold\child-lor.mp3,,child,,Lorraine,
t,assets\audio\ch11-howold\child-law.mp3,,child,,Lawrence,
t,assets\audio\ch11-howold\still a child-mab-3.mp3,,still a child,,Mabel,
p,assets\audio\ch11-howold\how old is the woman_-mab.mp3,,how old is the woman?,,Mabel,
p,assets\audio\ch11-howold\the woman-mab.mp3,,the woman,,Mabel,
