type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets\audio\ch13-kids\can you watch the little one_-mab.mp3,,can you watch the little one?,,Mabel,
c,assets\audio\ch13-kids\okay.mp3,,okay,,Lawrence,
c,assets\audio\ch13-kids\will you be long_.mp3,,will you be long?,,Lawrence,
c,assets\audio\ch13-kids\I wont be long.mp3,,I wont be long,,Mabel,
c,assets\audio\ch13-kids\shes in the back playing.mp3,,shes in the back playing,,Mabel,
c,assets\audio\ch13-kids\I can see her from here.mp3,,I can see her from here,,Lawrence,
c,assets\audio\ch13-kids\can you go outside and watch_.mp3,,can you go outside and watch?,,Mabel,
c,assets\audio\ch13-kids\you'll have to wait.mp3,,you'll have to wait,,Lawrence,
c,assets\audio\ch13-kids\I will get my coat.mp3,,I will get my coat,,Lawrence,
c,assets\audio\ch13-kids\I will be home tonight.mp3,,I will be home tonight,,Mabel,
c,assets\audio\ch13-kids\I will see you.mp3,,I will see you,,Lawrence,
p,assets\audio\ch13-kids\can you watch the little one_mab.mp3,,can you watch the little one?,,Mabel,
r,assets\audio\ch13-kids\okay_mab.mp3,,okay,,Mabel,
t,assets\audio\ch13-kids\can you watch the little one_mab-2.mp3,,can you watch the little one?,,Mabel,
p,assets\audio\ch13-kids\watch_mab.mp3,,(you) watch,,Mabel,
p,assets\audio\ch13-kids\are you going to be long__mab.mp3,,are you going to be long?,,Mabel,
t,assets\audio\ch13-kids\okay_mab-2.mp3,,okay,,Mabel,
p,assets\audio\ch13-kids\long time_mab.mp3,,long time,,Mabel,
r,assets\audio\ch13-kids\are you going to be long__mab-2.mp3,,are you going to be long?,,Mabel,
r,assets\audio\ch13-kids\I wont be long_mab.mp3,,I will not be long,,Mabel,
r,assets\audio\ch13-kids\long time_lor.mp3,,long time,,Lorraine,
t,assets\audio\ch13-kids\I wont be long_mab-2.mp3,,I will not be long,,Mabel,
p,assets\audio\ch13-kids\child_mab.mp3,,child,,Mabel,
r,assets\audio\ch13-kids\she is playing in the back_mab.mp3,,she is in the back playing,,Mabel,
t,assets\audio\ch13-kids\playing_mab.mp3,,playing,,Mabel,
t,assets\audio\ch13-kids\she is playing in the back_mab-2.mp3,,she is in the back playing,,Mabel,
p,assets\audio\ch13-kids\okay_mab-3.mp3,,okay,,Mabel,
p,assets\audio\ch13-kids\I can see her from up here_mab-2.mp3,,I can see her from here,,Mabel,
p,assets\audio\ch13-kids\I will see you_mab-2.mp3,,I will see you,,Mabel,
t,assets\audio\ch13-kids\I can see her from up here_mab-3.mp3,,I can see her from here,,Mabel,
t,assets\audio\ch13-kids\child_law.mp3,,child,,Lawrence,
t,assets\audio\ch13-kids\can you go outside and watch them__mab.mp3,,can you go outside and watch them?,,Mabel,
r,assets\audio\ch13-kids\watch_lor.mp3,,(you) watch,,Lorraine,
p,assets\audio\ch13-kids\can you go outside and watch them__mab-2.mp3,,can you go outside and watch them?,,Mabel,
r,assets\audio\ch13-kids\child_lor.mp3,,child,,Lorraine,
t,assets\audio\ch13-kids\you will have to wait_mab.mp3,,you will have to wait,,Mabel,
t,assets\audio\ch13-kids\watch_law.mp3,,(you) watch,,Lawrence,
p,assets\audio\ch13-kids\you will have to wait_mab-2.mp3,,you will have to wait,,Mabel,
p,assets\audio\ch13-kids\I will go get my coat_mab.mp3,,I will go get my coat,,Mabel,
r,assets\audio\ch13-kids\okay_lor.mp3,,okay,,Lorraine,
r,assets\audio\ch13-kids\I will go get my coat_mab-2.mp3,,I will go get my coat,,Mabel,
t,assets\audio\ch13-kids\I will be home tonight_mab.mp3,,I will be home tonight,,Mabel,
t,assets\audio\ch13-kids\okay_law.mp3,,okay,,Lawrence,
r,assets\audio\ch13-kids\I will be home tonight_mab-2.mp3,,I will be home tonight,,Mabel,
t,assets\audio\ch13-kids\I will see you_mab.mp3,,I will see you,,Mabel,
