type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets\audio\ch14-newboat\how are you_mab.mp3,,how are you,,Mabel,
c,assets\audio\ch14-newboat\I am fine its Conrad_law.mp3,,I am fine its Conrad,,Lawrence,
c,assets\audio\ch14-newboat\I got a boat_mab.mp3,,I got a boat,,Mabel,
c,assets\audio\ch14-newboat\It is good you got a boat_law.mp3,,It is good you got a boat,,Lawrence,
c,assets\audio\ch14-newboat\my parents bought it_mab.mp3,,my parents bought it,,Mabel,
c,assets\audio\ch14-newboat\you are really lucky_law.mp3,,you are really lucky,,Lawrence,
c,assets\audio\ch14-newboat\its small_mab.mp3,,its small,,Mabel,
c,assets\audio\ch14-newboat\what if I came to look_law.mp3,,what if I came to look,,Lawrence,
c,assets\audio\ch14-newboat\Yes come on over_mab.mp3,,Yes come on over,,Mabel,
p,assets\audio\ch14-newboat\boat_mab.mp3,,boat,,Mabel,
p,assets\audio\ch14-newboat\how are you_mab-3.mp3,,how are you,,Mabel,
r,assets\audio\ch14-newboat\how are you_mab-2.mp3,,how are you,,Mabel,
p,assets\audio\ch14-newboat\I am fine its Conrad_mab.mp3,,I am fine its Conrad,,Mabel,
r,assets\audio\ch14-newboat\I_mab.mp3,,I/me,,Mabel,
r,assets\audio\ch14-newboat\boat_lor.mp3,,boat,,Lorraine,
r,assets\audio\ch14-newboat\I am fine its Conrad_mab-2.mp3,,I am fine its Conrad,,Mabel,
p,assets\audio\ch14-newboat\I got a boat_mab-2.mp3,,I got a boat,,Mabel,
p,assets\audio\ch14-newboat\I got_mab.mp3,,I got,,Mabel,
r,assets\audio\ch14-newboat\I got a boat_mab-3.mp3,,I got a boat,,Mabel,
t,assets\audio\ch14-newboat\I got_law.mp3,,I got,,Lawrence,
p,assets\audio\ch14-newboat\It is good you got a boat_mab.mp3,,It is good you got a boat,,Mabel,
r,assets\audio\ch14-newboat\It is good you got a boat_mab-2.mp3,,It is good you got a boat,,Mabel,
t,assets\audio\ch14-newboat\I_lor.mp3,,I/me,,Lorraine,
p,assets\audio\ch14-newboat\my parents bought it_mab-2.mp3,,my parents bought it,,Mabel,
p,assets\audio\ch14-newboat\parents_lor.mp3,,parents,,Lorraine,
p,assets\audio\ch14-newboat\bought_mab.mp3,,bought,,Mabel,
r,assets\audio\ch14-newboat\my parents bought it_mab-3.mp3,,my parents bought it,,Mabel,
t,assets\audio\ch14-newboat\parents_law.mp3,,parents,,Lawrence,
t,assets\audio\ch14-newboat\bought_lor.mp3,,bought,,Lorraine,
t,assets\audio\ch14-newboat\boat_law.mp3,,boat,,Lawrence,
p,assets\audio\ch14-newboat\you are really lucky_mab.mp3,,you are really lucky,,Mabel,
p,assets\audio\ch14-newboat\you are lucky_mab.mp3,,you are lucky,,Mabel,
r,assets\audio\ch14-newboat\you are really lucky_mab-2.mp3,,you are really lucky,,Mabel,
t,assets\audio\ch14-newboat\you are lucky_law.mp3,,you are lucky,,Lawrence,
p,assets\audio\ch14-newboat\small_mab.mp3,,small,,Mabel,
p,assets\audio\ch14-newboat\its just small_mab.mp3,,its just small,,Mabel,
r,assets\audio\ch14-newboat\small_lor.mp3,,small,,Lorraine,
r,assets\audio\ch14-newboat\its just small_mab-2.mp3,,its just small,,Mabel,
t,assets\audio\ch14-newboat\small_law.mp3,,small,,Lawrence,
p,assets\audio\ch14-newboat\what if I come to see it_mab.mp3,,what if I come to see it,,Mabel,
r,assets\audio\ch14-newboat\what if I come to see it_mab-2.mp3,,what if I come to see it,,Mabel,
p,assets\audio\ch14-newboat\I will go_mab.mp3,,I will go,,Mabel,
r,assets\audio\ch14-newboat\I will go_lor.mp3,,I will go,,Lorraine,
t,assets\audio\ch14-newboat\I will go_law.mp3,,I will go,,Lawrence,
p,assets\audio\ch14-newboat\see_mab.mp3,,see,,Mabel,
r,assets\audio\ch14-newboat\see_lor.mp3,,see,,Lorraine,
t,assets\audio\ch14-newboat\see_law.mp3,,see,,Lawrence,
p,assets\audio\ch14-newboat\yes come on over_mab-2.mp3,,yes come on over,,Mabel,
t,assets\audio\ch14-newboat\come on over_mab.mp3,,come on over,,Mabel,
