type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,assets\audio\ch27-grandpa\tell me about my grandpa-mab.mp3,,tell me about my grandpa,,ʔɛmaθ,
c,assets\audio\ch27-grandpa\i didnt see him-mab.mp3,,I didnt see him,,ʔɛmaθ,
c,assets\audio\ch27-grandpa\i know-mab.mp3,,I know,,čɩčyɛ,
c,assets\audio\ch27-grandpa\you were very young when he died-mab.mp3,,you were very young when he died,,čɩčyɛ,
c,assets\audio\ch27-grandpa\he was a good looking man-mab.mp3,,he was a good looking man,,čɩčyɛ,
c,assets\audio\ch27-grandpa\he was tall-mab.mp3,,he was tall,,čɩčyɛ,
c,assets\audio\ch27-grandpa\and handsome-mab.mp3,,and handsome,,čɩčyɛ,
c,assets\audio\ch27-grandpa\he was shy-mab.mp3,,he was shy,,čɩčyɛ,
c,assets\audio\ch27-grandpa\he was always making jokes-mab.mp3,,he was always making jokes,,čɩčyɛ,
c,assets\audio\ch27-grandpa\did he play soccer_-mab.mp3,,did he play soccer?,,ʔɛmaθ,
c,assets\audio\ch27-grandpa\yes he did-mab.mp3,,yes he did,,čɩčyɛ,
c,assets\audio\ch27-grandpa\he used to paddle a racing canoe-mab.mp3,,he used to paddle a racing canoe,,čɩčyɛ,
c,assets\audio\ch27-grandpa\he was a good fisherman-mab.mp3,,he was a good fisherman,,čɩčyɛ,
c,assets\audio\ch27-grandpa\he knew everything about our land-mab.mp3,,he knew everything about our land,,čɩčyɛ,
p,assets\audio\ch27-grandpa\tell me-mab.mp3,,tell me,,Mabel,
p,assets\audio\ch27-grandpa\about towards-mab.mp3,,about (towards),,Mabel,
p,assets\audio\ch27-grandpa\my grandpa-mab.mp3,,my grandpa,,Mabel,
r,assets\audio\ch27-grandpa\about towards-lor.mp3,,about (towards),,Lorraine,
r,assets\audio\ch27-grandpa\my grandpa-lor.mp3,,my grandpa,,Lorraine,
p,assets\audio\ch27-grandpa\i didnt see him-lor.mp3,,I didnt see him,,Lorraine,
t,assets\audio\ch27-grandpa\about towards-law.mp3,,about towards,,Lawrence,
r,assets\audio\ch27-grandpa\tell me-lor.mp3,,tell me,,Lorraine,
p,assets\audio\ch27-grandpa\tell me about my grandpa2-mab.mp3,,tell me about my grandpa,,Mabel,
p,assets\audio\ch27-grandpa\i know3-mab.mp3,,I know,,Mabel,
p,assets\audio\ch27-grandpa\i didnt see him2-mab.mp3,,I didnt see him,,Mabel,
t,assets\audio\ch27-grandpa\tell me-law.mp3,,tell me,,Lawrence,
t,assets\audio\ch27-grandpa\my grandpa-law.mp3,,my grandpa,,Lawrence,
r,assets\audio\ch27-grandpa\i didnt see him-law.mp3,,I didnt see him,,Lawrence,
r,assets\audio\ch27-grandpa\i know-lor.mp3,,I know,,Lorraine,
p,assets\audio\ch27-grandpa\very young-mab.mp3,,very young,,Mabel,
r,assets\audio\ch27-grandpa\you were very young-lor.mp3,,you were very young,,Lorraine,
t,assets\audio\ch27-grandpa\you were very young when he died2-mab.mp3,,you were very young when he died,,Mabel,
r,assets\audio\ch27-grandpa\very young-lor.mp3,,very young,,Lorraine,
t,assets\audio\ch27-grandpa\i know-law.mp3,,I know,,Lawrence,
t,assets\audio\ch27-grandpa\very young-law.mp3,,very young,,Lawrence,
t,assets\audio\ch27-grandpa\you were very young-law.mp3,,you were very young,,Lawrence,
p,assets\audio\ch27-grandpa\you were very young-mab.mp3,,you were very young,,Mabel,
p,assets\audio\ch27-grandpa\he was a good looking man2-mab.mp3,,he was a good looking man,,Mabel,
r,assets\audio\ch27-grandpa\good looking (past tense)-lor .mp3,,good looking (past tense),,Lorraine,
t,assets\audio\ch27-grandpa\handsome-law.mp3,,handsome,,Lawrence,
t,assets\audio\ch27-grandpa\man-law.mp3,,man,,Lawrence,
p,assets\audio\ch27-grandpa\he was tall2-mab.mp3,,he was tall,,Mabel,
t,assets\audio\ch27-grandpa\tall-law.mp3,,tall,,Lawrence,
p,assets\audio\ch27-grandpa\shy-mab.mp3,,shy,,Mabel,
t,assets\audio\ch27-grandpa\shy-law.mp3,,shy,,Lawrence,
p,assets\audio\ch27-grandpa\he was shy3-mab.mp3,,he was shy,,Mabel,
r,assets\audio\ch27-grandpa\he was shy-lor.mp3,,he was shy,,Lorraine,
r,assets\audio\ch27-grandpa\shy-lor.mp3,,shy,,Lorraine,
t,assets\audio\ch27-grandpa\he was shy-law.mp3,,he was shy,,Lawrence,
p,assets\audio\ch27-grandpa\and handsome2-mab.mp3,,and handsome,,Mabel,
p,assets\audio\ch27-grandpa\i know2-mab.mp3,,I know,,Mabel,
p,assets\audio\ch27-grandpa\he was shy2-mab.mp3,,he was shy,,Mabel,
p,assets\audio\ch27-grandpa\makes jokes-mab.mp3,,makes jokes,,Mabel,
p,assets\audio\ch27-grandpa\made jokes-mab.mp3,,made jokes,,Mabel,
p,assets\audio\ch27-grandpa\tell jokes-mab.mp3,,tell jokes,,Mabel,
r,assets\audio\ch27-grandpa\tell jokes-lor.mp3,,tell jokes,,Lorraine,
t,assets\audio\ch27-grandpa\made jokes-law.mp3,,made jokes,,Lawrence,
t,assets\audio\ch27-grandpa\makes jokes-law.mp3,,makes jokes,,Lawrence,
t,assets\audio\ch27-grandpa\he was always making jokes2-mab.mp3,,he was always making jokes,,Mabel,
p,assets\audio\ch27-grandpa\tell traditional stories-mab.mp3,,tell traditional stories,,Mabel,
p,assets\audio\ch27-grandpa\did he_-mab.mp3,,did he?,,Mabel,
p,assets\audio\ch27-grandpa\kicking-mab.mp3,,kicking,,Mabel,
p,assets\audio\ch27-grandpa\ball-mab.mp3,,ball,,Mabel,
r,assets\audio\ch27-grandpa\did he_-lor.mp3,,did he?,,Lorraine,
r,assets\audio\ch27-grandpa\kicking-lor.mp3,,kicking,,Lorraine,
t,assets\audio\ch27-grandpa\did he_-law.mp3,,did he?,,Lawrence,
r,assets\audio\ch27-grandpa\ball-lor.mp3,,ball,,Lorraine,
r,assets\audio\ch27-grandpa\tell traditional stories-lor.mp3,,tell traditional stories,,Lorraine,
t,assets\audio\ch27-grandpa\kicking-law.mp3,,kicking,,Lawrence,
t,assets\audio\ch27-grandpa\ball-law.mp3,,ball,,Lawrence,
p,assets\audio\ch27-grandpa\did he play soccer_2-mab.mp3,,did he play soccer?,,Mabel,
p,assets\audio\ch27-grandpa\yes he did2-mab.mp3,,yes he did,,Mabel,
t,assets\audio\ch27-grandpa\tell traditional stories-law.mp3,,tell traditional stories,,Lawrence,
p,assets\audio\ch27-grandpa\Sto paddle-mab.mp3,,to paddle (with one paddle),,Mabel,
p,assets\audio\ch27-grandpa\a racing canoe-mab.mp3,,a racing canoe,,Mabel,
r,assets\audio\ch27-grandpa\to paddle-lor.mp3,,to paddle (with one paddle),,Lorraine,
r,assets\audio\ch27-grandpa\a racing canoe-lor.mp3,,a racing canoe,,Lorraine,
t,assets\audio\ch27-grandpa\a racing canoe-law.mp3,,a racing canoe,,Lawrence,
t,assets\audio\ch27-grandpa\to paddle-law.mp3,,to paddle (with one paddle),,Lawrence,
p,assets\audio\ch27-grandpa\he used to paddle a racing canoe2-mab.mp3,,he used to paddle a racing canoe,,Mabel,
p,assets\audio\ch27-grandpa\he was a good fisherman2-mab.mp3,,he was a good fisherman,,Mabel,
p,assets\audio\ch27-grandpa\land or ground-mab.mp3,,land or ground,,Mabel,
p,assets\audio\ch27-grandpa\our land-mab.mp3,,our land,,Mabel,
